id;date;price;free_float;shares
23;2026-09-10;22.75;0.9075;13774000
230;2026-09-10;78;0.215;3000000
231;2026-09-10;93.3;0.3785;30800000
233;2026-09-10;12.5;0.1954;3023295
234;2026-09-10;3.915;0.7803;249759611
236;2026-09-10;5.165;0.7347;51617824
237;2026-09-10;52.7;0.8962;28908944
24;2026-09-10;1934;0.9192;854000
241;2026-09-10;126800;0.844;133905
243;2026-09-10;1.145;0.7872;51509214
244;2026-09-10;71.5;0.7401;71907147
245;2026-09-10;38.38;0.4662;116919500
246;2026-09-10;201.9;0.8256;59626809
247;2026-09-10;639;0.2908;23389028
248;2026-09-10;50.75;0.7;146509681
249;2026-09-10;857.4;0.8487;26700000
250;2026-09-10;293.6;1;40716831
251;2026-09-10;179.35;0.4599;120753783
252;2026-09-10;70.84;1;160784460
253;2026-09-10;648;1;33922404
254;2026-09-10;55.5;1;24827644
256;2026-09-10;0.1295;0.2824;1078607163
257;2026-09-10;4.23;0.573;339758576
26;2026-09-10;112.5;1;5900000
263;2026-09-10;0.65;0.3248;14461457
264;2026-09-10;56.2;0.6773;15615723
265;2026-09-10;92;0.4313;13628882
269;2026-09-10;15.52;0.2506;33796535
27;2026-09-10;10.45;0.4011;14744526
270;2026-09-10;159.5;1;160479293
271;2026-09-10;11.05;0.4349;8840000
275;2026-09-10;12.52;0.8828;382270872
277;2026-09-10;19;0.9015;34182581
279;2026-09-10;159.4;0.3055;20000000
28;2026-09-10;721.5;0.4905;51801943
280;2026-09-10;66.86;1;499700000
281;2026-09-10;20.52;0.5849;100000000
283;2026-09-10;13.4;0.2946;84529460
288;2026-09-10;6.755;0.7349;221102953
29;2026-09-10;61.5;1;2550000
290;2026-09-10;43.2;1;10170915
291;2026-09-10;26.5;0.4693;47478954
293;2026-09-10;40.7;0.3046;6428571
296;2026-09-10;25.7;0.4403;33200000
297;2026-09-10;31.2;0.546;62517427
298;2026-09-10;9.45;0.5946;41262370
299;2026-09-10;52.3;0.5596;22483524
3;2026-09-10;34.8;0.335;730000
302;2026-09-10;24.8;0.9051;37239162
303;2026-09-10;22.5;0.5095;5767572
304;2026-09-10;90.4;0.3268;11205076
307;2026-09-10;72.55;1;94500000
309;2026-09-10;68.02;1;440000000
311;2026-09-10;145.9;0.6537;237897635
313;2026-09-10;49.12;0.9367;71259702
315;2026-09-10;24.4;0.8422;5848011
317;2026-09-10;49.19;0.9333;566875513
34;2026-09-10;27.45;0.5869;4680000
35;2026-09-10;1350;0.6625;197278
359;2026-09-10;30.4;0.2011;98145200
36;2026-09-10;9860;0.4989;288288
37;2026-09-10;18.65;0.253;5037457
38;2026-09-10;3410;0.8313;100000
39;2026-09-10;236;1;16592821
4;2026-09-10;166.5;0.538;4668347
40;2026-09-10;2070;1;750000
41;2026-09-10;146.7;1;80234375
42;2026-09-10;12660;1;988514
43;2026-09-10;3092;0.8797;9233586
44;2026-09-10;67.9;0.75;5133333
45;2026-09-10;261;0.6863;1431808
47;2026-09-10;411.8;0.7336;15328170
48;2026-09-10;370;0.485;9320000
50;2026-09-10;157;1;390710
52;2026-09-10;161;0.3127;10600000
54;2026-09-10;580.6;1;146355754
55;2026-09-10;119.4;0.7036;24451610
56;2026-09-10;1.05;0.6359;37059946
57;2026-09-10;5.02;1;36000000
58;2026-09-10;57.5;0.7232;42000260
